,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
96,Mattéo Guendouzi,fr FRA,MF,20.0,26.8,43.0,1.85,33.0,0.0,3.0,2.0,4.0,1.0,4.0,0.17,1.0,0.0,0.0,0.0,2.0,1.0,0.0,Matches,Arsenal
97,Dani Ceballos,es ESP,MF,22.0,26.3,63.0,2.83,43.0,13.0,0.0,3.0,2.0,2.0,9.0,0.4,6.0,1.0,0.0,0.0,0.0,2.0,0.0,Matches,Arsenal
98,Sokratis Papastathopoulos,gr GRE,DF,31.0,25.8,7.0,0.31,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
99,Shkodran Mustafi,de GER,DF,27.0,25.3,8.0,0.39,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Arsenal
100,Ainsley Maitland-Niles,eng ENG,"DF,FW",21.0,23.0,23.0,1.24,19.0,1.0,1.0,0.0,1.0,1.0,4.0,0.21,3.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Arsenal
101,Emiliano Martínez,ar ARG,GK,26.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
102,Lucas Torreira,uy URU,MF,23.0,22.8,37.0,1.79,24.0,6.0,2.0,2.0,3.0,0.0,3.0,0.15,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,Arsenal
103,Sead Kolašinac,ba BIH,DF,26.0,22.7,19.0,0.96,19.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
104,Joe Willock,eng ENG,MF,19.0,21.1,49.0,3.12,36.0,0.0,5.0,1.0,5.0,2.0,5.0,0.32,4.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Arsenal
105,Héctor Bellerín,es ESP,DF,24.0,20.3,19.0,1.2,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
106,Mesut Özil,de GER,"MF,FW",30.0,20.0,66.0,3.74,45.0,17.0,2.0,0.0,2.0,0.0,7.0,0.4,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
107,Kieran Tierney,sco SCO,DF,22.0,19.2,24.0,1.6,19.0,1.0,3.0,0.0,1.0,0.0,6.0,0.4,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
108,Martinelli,br BRA,FW,18.0,16.7,26.0,2.15,15.0,0.0,3.0,3.0,2.0,3.0,5.0,0.41,3.0,0.0,0.0,1.0,1.0,0.0,0.0,Matches,Arsenal
109,Calum Chambers,eng ENG,DF,24.0,15.4,20.0,1.39,11.0,2.0,0.0,4.0,1.0,2.0,3.0,0.21,1.0,0.0,0.0,1.0,0.0,1.0,0.0,Matches,Arsenal
110,Rob Holding,eng ENG,DF,23.0,14.6,3.0,0.32,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
111,Reiss Nelson,eng ENG,FW,19.0,11.6,32.0,3.6,21.0,4.0,3.0,3.0,1.0,0.0,4.0,0.45,2.0,0.0,0.0,2.0,0.0,0.0,0.0,Matches,Arsenal
112,Eddie Nketiah,eng ENG,FW,20.0,9.4,12.0,1.71,7.0,0.0,2.0,0.0,2.0,1.0,1.0,0.14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Arsenal
113,Emile Smith-Rowe,eng ENG,"FW,MF",19.0,4.2,9.0,2.45,7.0,0.0,0.0,0.0,2.0,0.0,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
114,Nacho Monreal,es ESP,DF,33.0,3.0,4.0,1.33,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
115,Cédric Soares,pt POR,DF,27.0,2.8,3.0,1.08,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
116,Pablo Marí,es ESP,DF,25.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
117,Henrikh Mkhitaryan,am ARM,FW,30.0,1.2,6.0,4.82,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
118,Konstantinos Mavropanos,gr GRE,DF,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
