,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches,club
84,Michel Vlap,nl NED,"MF,FW",23-332,4.1,80.0,118.0,67.8,1411.0,388.0,30.0,46.0,65.2,29.0,34.0,85.3,12.0,22.0,54.5,1,0.6,0.4,8.0,4.0,2.0,0.0,7.0,Matches,Arminia
85,Nils Seufert,de GER,"MF,FW",24-086,3.8,125.0,154.0,81.2,1870.0,444.0,70.0,78.0,89.7,46.0,51.0,90.2,6.0,16.0,37.5,1,0.3,0.7,4.0,12.0,1.0,0.0,10.0,Matches,Arminia
86,Brian Behrendt,de GER,DF,29-188,0.9,41.0,56.0,73.2,941.0,310.0,14.0,17.0,82.4,18.0,25.0,72.0,9.0,13.0,69.2,0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,Matches,Arminia
87,Jóan Símun Edmundsson,fo FRO,"MF,FW",29-278,0.6,11.0,15.0,73.3,209.0,43.0,6.0,7.0,85.7,3.0,5.0,60.0,2.0,3.0,66.7,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Matches,Arminia
88,Jomaine Consbruch,de GER,MF,19-094,0.5,,,,,,,,,,,,,,,0,,,,,,,,Matches,Arminia
89,Noel Niemann,de GER,FW,21-167,0.1,,,,,,,,,,,,,,,0,,,,,,,,Matches,Arminia
90,Sebastian Müller,de GER,"MF,DF",20-097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arminia
91,Bernd Leno,de GER,GK,29-063,44.1,1044.0,1294.0,80.7,24950.0,12801.0,304.0,304.0,100.0,505.0,509.0,99.2,229.0,472.0,48.5,0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,Matches,Arsenal
92,Granit Xhaka,ch SUI,MF,28-221,40.2,2481.0,2755.0,90.1,50145.0,13300.0,900.0,975.0,92.3,1171.0,1249.0,93.8,385.0,473.0,81.4,2,1.7,0.3,17.0,324.0,34.0,2.0,259.0,Matches,Arsenal
93,Bukayo Saka,eng ENG,FW,19-243,36.3,999.0,1306.0,76.5,15548.0,3684.0,563.0,648.0,86.9,338.0,421.0,80.3,70.0,166.0,42.2,6,5.8,-0.8,43.0,57.0,36.0,11.0,75.0,Matches,Arsenal
94,Rob Holding,eng ENG,DF,25-228,32.3,1530.0,1717.0,89.1,34787.0,9718.0,371.0,391.0,94.9,846.0,896.0,94.4,309.0,416.0,74.3,1,0.3,0.7,5.0,119.0,7.0,0.0,99.0,Matches,Arsenal
95,Pierre-Emerick Aubameyang,ga GAB,FW,31-322,30.2,540.0,717.0,75.3,8145.0,1646.0,306.0,373.0,82.0,184.0,243.0,75.7,29.0,52.0,55.8,3,2.3,0.7,20.0,25.0,26.0,9.0,56.0,Matches,Arsenal
96,Héctor Bellerín,es ESP,MF,26-048,29.5,1340.0,1607.0,83.4,21932.0,6131.0,665.0,751.0,88.5,576.0,666.0,86.5,74.0,118.0,62.7,3,3.9,-0.9,26.0,75.0,34.0,10.0,103.0,Matches,Arsenal
97,Nicolas Pépé,ci CIV,"FW,MF",25-342,28.6,718.0,964.0,74.5,10730.0,2567.0,420.0,493.0,85.2,224.0,297.0,75.4,51.0,102.0,50.0,5,3.8,1.2,30.0,28.0,38.0,10.0,61.0,Matches,Arsenal
98,Kieran Tierney,sco SCO,DF,23-335,28.5,1217.0,1603.0,75.9,22359.0,6348.0,513.0,588.0,87.2,555.0,668.0,83.1,134.0,286.0,46.9,3,4.3,-2.3,35.0,64.0,43.0,19.0,108.0,Matches,Arsenal
99,Gabriel Dos Santos,br BRA,DF,23-138,27.2,1469.0,1704.0,86.2,31742.0,8747.0,401.0,438.0,91.6,796.0,856.0,93.0,263.0,389.0,67.6,1,0.1,0.9,2.0,93.0,4.0,2.0,54.0,Matches,Arsenal
100,Alexandre Lacazette,fr FRA,"FW,MF",29-343,26.4,488.0,633.0,77.1,7301.0,1606.0,272.0,342.0,79.5,158.0,194.0,81.4,32.0,50.0,64.0,3,3.3,-1.3,24.0,36.0,22.0,0.0,58.0,Matches,Arsenal
101,David Luiz,br BRA,DF,34-014,25.7,1190.0,1400.0,85.0,27278.0,7951.0,274.0,297.0,92.3,651.0,692.0,94.1,257.0,384.0,66.9,0,0.8,-0.8,4.0,99.0,11.0,0.0,89.0,Matches,Arsenal
102,Dani Ceballos,es ESP,MF,24-272,25.5,1486.0,1702.0,87.3,29103.0,7123.0,570.0,620.0,91.9,667.0,728.0,91.6,220.0,296.0,74.3,3,4.2,-1.2,40.0,169.0,35.0,4.0,149.0,Matches,Arsenal
103,Mohamed Elneny,eg EGY,MF,28-299,24.1,1026.0,1112.0,92.3,20118.0,3957.0,371.0,393.0,94.4,501.0,529.0,94.7,144.0,169.0,85.2,0,0.3,-0.3,7.0,76.0,11.0,0.0,58.0,Matches,Arsenal
104,Cédric Soares,pt POR,"DF,MF",29-248,20.1,736.0,930.0,79.1,12656.0,4226.0,384.0,423.0,90.8,268.0,339.0,79.1,74.0,133.0,55.6,2,2.0,0.0,16.0,63.0,23.0,12.0,69.0,Matches,Arsenal
105,Emile Smith-Rowe,eng ENG,MF,20-282,20.0,699.0,801.0,87.3,10582.0,1883.0,394.0,437.0,90.2,256.0,285.0,89.8,33.0,41.0,80.5,7,3.9,3.1,27.0,40.0,15.0,3.0,41.0,Matches,Arsenal
106,Willian,br BRA,FW,32-270,19.9,749.0,938.0,79.9,14054.0,2857.0,337.0,383.0,88.0,300.0,352.0,85.2,103.0,176.0,58.5,7,2.6,4.4,33.0,38.0,39.0,13.0,59.0,Matches,Arsenal
107,Thomas Partey,gh GHA,MF,27-327,19.4,1072.0,1232.0,87.0,21231.0,5574.0,407.0,455.0,89.5,478.0,528.0,90.5,169.0,221.0,76.5,3,1.4,1.6,16.0,138.0,14.0,0.0,123.0,Matches,Arsenal
