,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches,club
99,Gabriel Dos Santos,br BRA,DF,23-138,27.2,11.0,0.45,6.0,2.0,1.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
100,Alexandre Lacazette,fr FRA,"FW,MF",29-343,26.4,55.0,2.19,34.0,0.0,4.0,2.0,10.0,5.0,5.0,0.2,3.0,0.0,0.0,1.0,1.0,0.0,0.0,Matches,Arsenal
101,David Luiz,br BRA,DF,34-014,25.7,14.0,0.64,12.0,0.0,1.0,0.0,0.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
102,Dani Ceballos,es ESP,MF,24-272,25.5,77.0,3.26,65.0,5.0,2.0,2.0,1.0,2.0,5.0,0.21,4.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Arsenal
103,Mohamed Elneny,eg EGY,MF,28-299,24.1,22.0,1.17,18.0,0.0,2.0,1.0,1.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
104,Cédric Soares,pt POR,"DF,MF",29-248,20.1,33.0,2.19,26.0,3.0,2.0,1.0,0.0,1.0,5.0,0.33,4.0,0.0,0.0,0.0,0.0,1.0,0.0,Matches,Arsenal
105,Emile Smith-Rowe,eng ENG,MF,20-282,20.0,52.0,2.73,42.0,0.0,3.0,3.0,3.0,1.0,13.0,0.68,11.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches,Arsenal
106,Willian,br BRA,FW,32-270,19.9,67.0,3.73,39.0,17.0,2.0,3.0,6.0,0.0,11.0,0.61,7.0,2.0,0.0,2.0,0.0,0.0,0.0,Matches,Arsenal
107,Thomas Partey,gh GHA,MF,27-327,19.4,34.0,1.79,32.0,0.0,1.0,0.0,0.0,1.0,5.0,0.26,4.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Arsenal
108,Pablo Marí,es ESP,DF,27-248,14.3,7.0,0.54,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
109,Eddie Nketiah,eng ENG,FW,21-341,13.6,14.0,1.43,11.0,0.0,0.0,1.0,1.0,1.0,3.0,0.31,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,Arsenal
110,Ainsley Maitland-Niles,eng ENG,MF,23-250,13.5,22.0,2.17,17.0,1.0,2.0,1.0,1.0,0.0,3.0,0.3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches,Arsenal
111,Martin Ødegaard,no NOR,MF,22-140,11.3,56.0,4.94,44.0,7.0,3.0,1.0,1.0,0.0,7.0,0.62,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
112,Joe Willock,eng ENG,MF,21-259,10.5,20.0,3.1,19.0,0.0,1.0,0.0,0.0,0.0,3.0,0.46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
